Country,Decision,Team 1,Team 2,Winner,Ground,team composition,weather_status,strike_rate,Margin_Wickets,Margin_Runs
Sri Lanka,bat,Zimbabwe,Sri Lanka,Sri Lanka,Harare,"[5, 7, 2, 4, 5, 7, 1, 9, 10, 10, 10]",2.0,"[75.92, 86.23, 78.86, 78.96, 69.29, 82.9, 72.04, 86.01, 33.92, 28.87, 23.08]",9,0
Sri Lanka,field,Zimbabwe,Sri Lanka,Zimbabwe,Harare,"[2, 2, 1, 7, 1, 4, 7, 9, 10, 10, 10]",5.0,"[73.21, 76.64, 67.58, 76.08, 51.7, 80.02, 88.68, 30.22, 46.9, 35.75, 38.5]",8,0
Zimbabwe,field,India,Sri Lanka,Sri Lanka,Harare,"[1, 2, 7, 4, 1, 7, 7, 10, 10, 10, 10]",2.0,"[75.92, 86.23, 74.24, 72.04, 69.29, 118.96, 72.27, 32.8, 33.72, 27.86, 30.2]",6,0
Sri Lanka,field,Zimbabwe,Sri Lanka,Sri Lanka,Bulawayo,"[5, 7, 5, 7, 4, 5, 9, 10, 10, 10, 10]",5.0,"[73.24, 14.28, 93.58, 146.58, 91.97, 93.5, 85.06, 33.2, 46.7, 14.41, 31.04]",9,0
Sri Lanka,field,India,Sri Lanka,India,Bulawayo,"[1, 1, 1, 4, 2, 4, 7, 10, 10, 10, 10]",2.0,"[73.21, 76.64, 51.7, 76.08, 88.68, 80.02, 106.28, 30.22, 46.9, 35.75, 38.5]",7,0
India,field,India,Sri Lanka,Sri Lanka,Mirpur,"[5, 7, 2, 5, 5, 1, 9, 10, 10, 10, 10]",5.0,"[75.92, 86.23, 69.29, 82.9, 72.04, 70.4, 32.8, 33.92, 33.72, 30.2, 21.86]",4,0
Sri Lanka,field,India,Sri Lanka,India,Mirpur,"[3, 3, 4, 5, 7, 2, 7, 7, 10, 10, 10]",2.0,"[104.33, 85.25, 93.58, 87.67, 87.56, 93.5, 85.06, 33.35, 29.43, 31.72, 33.44]",8,0
Sri Lanka,bat,Bangladesh,Sri Lanka,Sri Lanka,Mirpur,"[1, 1, 1, 4, 2, 4, 7, 10, 10, 10, 10]",5.0,"[75.92, 86.23, 78.86, 78.96, 69.29, 61.9, 32.8, 33.72, 27.86, 28.86, 32.42]",9,0
Sri Lanka,field,India,Sri Lanka,Sri Lanka,Mirpur,"[3, 3, 4, 5, 7, 2, 7, 7, 10, 10, 10]",2.0,"[78.52, 71.1, 70.1, 61.32, 82.84, 79.74, 76.92, 66.19, 29.29, 34.31, 33.62]",5,0
Sri Lanka,field,Bangladesh,Sri Lanka,Sri Lanka,Mirpur,"[5, 7, 7, 2, 5, 1, 7, 9, 10, 10, 10]",4.0,"[85.25, 104.33, 93.58, 87.67, 87.56, 93.5, 85.06, 33.35, 29.43, 31.72, 33.44]",7,0
Sri Lanka,field,India,Sri Lanka,no result,Delhi,"[5, 7, 7, 2, 5, 9, 1, 5, 10, 10, 10]",3.0,"[78.52, 71.1, 70.1, 61.32, 82.84, 79.74, 76.92, 66.19, 29.29, 34.31, 36.12]",0,0
Sri Lanka,field,India,Sri Lanka,India,Eden Gardens,"[5, 7, 2, 5, 1, 4, 10, 10, 10, 10, 10]",5.0,"[75.92, 86.23, 91.2, 78.86, 69.29, 61.9, 38.2, 32.8, 33.72, 32.42, 28.86]",7,0
Sri Lanka,bat,India,Sri Lanka,India,Cuttack,"[1, 1, 1, 1, 2, 4, 7, 10, 10, 10, 10]",1.0,"[75.92, 86.23, 91.2, 78.86, 78.96, 32.8, 61.9, 69.29, 33.72, 32.42, 28.87]",7,0
Sri Lanka,bat,India,Sri Lanka,Sri Lanka,Nagpur,"[1, 1, 2, 4, 1, 10, 1, 7, 10, 10, 10]",4.0,"[75.92, 86.23, 78.86, 78.96, 61.9, 72.04, 33.92, 33.72, 28.87, 21.86, 28.86]",3,0
India,bat,India,Sri Lanka,India,Rajkot,"[2, 7, 3, 4, 7, 4, 7, 7, 10, 10, 10]",1.0,"[104.33, 86.23, 85.25, 93.58, 87.56, 93.5, 85.06, 33.35, 36.02, 29.43, 31.72]",0,3
Sri Lanka,field,New Zealand,Sri Lanka,New Zealand,Johannesburg,"[7, 7, 2, 5, 5, 1, 7, 10, 10, 10, 10]",5.0,"[104.33, 86.23, 87.56, 93.5, 85.25, 33.35, 93.58, 85.06, 36.02, 29.43, 31.72]",0,38
Sri Lanka,field,England,Sri Lanka,England,Johannesburg,"[7, 7, 2, 5, 5, 7, 1, 10, 10, 10, 10]",1.0,"[96.37, 95.31, 87.29, 83.32, 81.78, 81.22, 82.98, 76.92, 27.02, 32.12, 20.88]",6,0
England,field,South Africa,Sri Lanka,Sri Lanka,Centurion,"[1, 1, 2, 4, 7, 4, 1, 10, 10, 10, 10]",5.0,"[86.23, 91.2, 78.86, 78.96, 69.29, 61.9, 82.9, 33.92, 23.08, 28.87, 21.86]",0,55
South Africa,field,Sri Lanka,India,India,Colombo (RPS),"[7, 7, 5, 2, 7, 1, 4, 10, 10, 10, 10]",3.0,"[86.23, 91.2, 78.86, 78.96, 69.29, 82.9, 61.9, 33.92, 23.08, 28.87, 21.86]",0,46
India,bat,Sri Lanka,India,Sri Lanka,Colombo (RPS),"[7, 7, 5, 2, 5, 1, 7, 10, 10, 10, 10]",4.0,"[71.23, 86.23, 87.56, 87.67, 146.58, 93.5, 93.58, 33.35, 33.95, 31.72, 30.98]",0,139
Sri Lanka,bat,Sri Lanka,New Zealand,Sri Lanka,Colombo (RPS),"[2, 3, 4, 5, 4, 4, 7, 10, 10, 10, 10]",3.0,"[86.23, 91.2, 78.96, 78.86, 82.9, 61.9, 72.04, 33.92, 27.86, 28.87, 21.86]",0,97
Sri Lanka,bat,Sri Lanka,Pakistan,Pakistan,Colombo (RPS),"[2, 3, 4, 5, 4, 4, 7, 10, 10, 10, 10]",4.0,"[86.23, 91.2, 78.96, 78.86, 69.29, 61.9, 82.9, 33.92, 27.86, 28.87, 21.86]",0,132
Pakistan,bat,Sri Lanka,Pakistan,Pakistan,Colombo (RPS),"[2, 3, 4, 7, 4, 1, 7, 7, 10, 10, 10]",1.0,"[83.94, 81.01, 75.29, 75.1, 73.75, 86.04, 117.0, 29.28, 31.55, 29.62, 22.72]",0,146
Pakistan,bat,Sri Lanka,Pakistan,Sri Lanka,Dambulla,"[3, 2, 4, 7, 4, 1, 7, 7, 10, 10, 10]",4.0,"[83.94, 81.01, 75.29, 75.1, 73.75, 86.04, 117.0, 29.28, 29.62, 31.55, 22.72]",6,0
Sri Lanka,field,Sri Lanka,Pakistan,Sri Lanka,Dambulla,"[5, 7, 2, 5, 4, 5, 7, 10, 10, 10, 10]",3.0,"[83.94, 75.38, 75.29, 81.9, 86.04, 74.47, 117.0, 81.25, 29.28, 29.62, 22.72]",6,0
Sri Lanka,field,Sri Lanka,Pakistan,Sri Lanka,Dambulla,"[7, 7, 2, 1, 5, 4, 7, 10, 10, 10, 10]",5.0,"[75.38, 83.94, 75.29, 81.9, 86.04, 74.47, 117.0, 81.25, 29.34, 29.62, 22.72]",0,36
Pakistan,field,Sri Lanka,India,Sri Lanka,Colombo (RPS),"[1, 1, 2, 4, 7, 4, 1, 7, 10, 10, 10]",1.0,"[75.92, 91.2, 78.86, 78.96, 72.04, 69.29, 82.9, 33.92, 23.08, 27.86, 28.87]",0,68
Sri Lanka,bat,Sri Lanka,India,India,Colombo (RPS),"[1, 1, 1, 4, 2, 4, 7, 10, 10, 10, 10]",5.0,"[86.23, 91.2, 78.86, 61.9, 78.96, 72.04, 86.01, 27.86, 33.92, 23.08, 21.86]",0,67
India,bat,Sri Lanka,India,India,Colombo (RPS),"[1, 1, 1, 4, 4, 2, 7, 10, 10, 10, 10]",1.0,"[104.33, 85.25, 87.56, 87.67, 146.58, 93.5, 91.97, 79.54, 36.02, 31.04, 30.98]",0,147
India,bat,Sri Lanka,India,India,Colombo (RPS),"[7, 7, 2, 1, 7, 5, 4, 10, 10, 10, 10]",4.0,"[104.33, 86.23, 85.25, 87.67, 87.56, 93.5, 146.58, 36.02, 29.43, 31.04, 30.98]",0,15
India,bat,Sri Lanka,India,India,Dambulla,"[7, 7, 2, 1, 5, 4, 7, 10, 10, 10, 10]",1.0,"[104.33, 86.23, 85.25, 87.67, 93.5, 87.56, 146.58, 29.43, 36.02, 31.04, 30.98]",6,0
India,field,Pakistan,Sri Lanka,Sri Lanka,Lahore,"[7, 7, 2, 1, 5, 4, 7, 10, 10, 10, 10]",5.0,"[86.23, 91.2, 78.86, 61.9, 86.01, 78.96, 72.04, 27.86, 33.92, 23.08, 21.86]",0,234
Sri Lanka,bat,Pakistan,Sri Lanka,Sri Lanka,Karachi,"[7, 7, 2, 5, 4, 7, 7, 10, 10, 10, 10]",2.0,"[86.23, 91.2, 78.86, 61.9, 78.96, 72.04, 86.01, 27.86, 33.92, 23.08, 21.86]",0,129
Pakistan,field,Pakistan,Sri Lanka,Pakistan,Karachi,"[3, 1, 2, 4, 7, 5, 7, 7, 10, 10, 10]",5.0,"[86.23, 91.2, 78.86, 61.9, 78.96, 72.04, 86.01, 27.86, 23.08, 33.92, 21.86]",8,0
Sri Lanka,bat,Bangladesh,Sri Lanka,Sri Lanka,Mirpur,"[5, 7, 2, 5, 4, 7, 7, 10, 10, 10, 10]",2.0,"[86.23, 91.2, 78.86, 78.96, 72.04, 63.13, 86.01, 27.86, 33.92, 23.08, 21.86]",2,0
Sri Lanka,field,Bangladesh,Sri Lanka,Bangladesh,Mirpur,"[5, 7, 2, 5, 4, 7, 7, 10, 10, 10, 10]",4.0,"[78.52, 68.22, 79.74, 70.1, 82.84, 61.32, 76.92, 66.19, 32.93, 31.5, 34.31]",5,0
Bangladesh,field,Sri Lanka,Zimbabwe,Sri Lanka,Mirpur,"[5, 5, 2, 4, 1, 7, 7, 10, 10, 10, 10]",2.0,"[75.92, 91.2, 78.86, 78.96, 72.04, 63.13, 82.9, 27.86, 33.92, 23.08, 21.86]",0,130
Zimbabwe,field,Zimbabwe,Sri Lanka,Sri Lanka,Harare,"[1, 3, 1, 2, 4, 7, 7, 10, 10, 10, 10]",5.0,"[75.92, 91.2, 78.86, 78.96, 72.04, 63.13, 82.9, 27.86, 21.86, 33.92, 23.08]",0,19
Zimbabwe,field,Zimbabwe,Sri Lanka,Sri Lanka,Harare,"[5, 5, 2, 5, 4, 7, 7, 10, 10, 10, 10]",3.0,"[75.92, 78.96, 78.86, 72.04, 61.9, 63.13, 82.9, 33.92, 23.08, 21.86, 30.2]",2,0
Sri Lanka,field,Zimbabwe,Sri Lanka,Sri Lanka,Harare,"[1, 3, 1, 2, 4, 7, 4, 10, 10, 10, 10]",5.0,"[73.21, 63.48, 63.22, 67.58, 72.39, 80.02, 60.39, 46.9, 35.75, 29.64, 100.4]",0,5
Zimbabwe,field,Zimbabwe,Sri Lanka,Sri Lanka,Harare,"[1, 3, 1, 2, 4, 7, 1, 10, 10, 10, 10]",1.0,"[67.1, 75.92, 78.86, 78.96, 72.04, 63.13, 86.01, 27.86, 21.86, 23.08, 33.92]",9,0
Zimbabwe,bat,Zimbabwe,Sri Lanka,Sri Lanka,Harare,"[7, 3, 5, 2, 5, 4, 7, 10, 10, 10, 10]",5.0,"[73.21, 63.48, 63.22, 67.58, 72.39, 80.02, 86.69, 46.9, 35.75, 29.64, 38.5]",6,0
Sri Lanka,field,Sri Lanka,India,Sri Lanka,Colombo (RPS),"[1, 1, 4, 4, 2, 1, 4, 10, 10, 10, 10]",3.0,"[73.21, 63.48, 63.22, 67.58, 72.39, 80.02, 59.39, 46.9, 35.75, 29.64, 38.5]",0,112
Sri Lanka,bat,Sri Lanka,India,India,Colombo (RPS),"[1, 1, 4, 4, 4, 2, 1, 10, 10, 10, 10]",5.0,"[91.2, 46.05, 67.1, 78.86, 78.96, 72.04, 63.13, 27.86, 33.92, 21.86, 30.2]",0,46
India,bat,Sri Lanka,India,India,Colombo (RPS),"[7, 2, 5, 4, 5, 7, 10, 10, 10, 10, 10]",2.0,"[93.58, 85.25, 87.67, 93.5, 87.56, 91.97, 45.93, 33.35, 36.02, 29.43, 30.26]",0,33
India,bat,Sri Lanka,India,India,Dambulla,"[1, 1, 4, 4, 1, 2, 7, 10, 10, 10, 10]",4.0,"[93.58, 85.25, 87.67, 93.5, 45.93, 87.56, 91.97, 33.35, 36.02, 29.43, 30.26]",3,0
India,field,Sri Lanka,India,Sri Lanka,Dambulla,"[7, 2, 5, 4, 5, 7, 10, 10, 10, 10, 10]",1.0,"[91.2, 78.86, 78.96, 72.04, 70.4, 86.23, 33.92, 27.86, 21.86, 30.2, 23.08]",8,0
India,bat,India,Sri Lanka,Sri Lanka,Karachi,"[7, 2, 5, 3, 4, 5, 7, 10, 10, 10, 10]",5.0,"[85.25, 93.58, 93.5, 87.67, 91.97, 87.56, 79.54, 33.35, 29.43, 31.04, 30.26]",0,100
India,field,India,Sri Lanka,India,Karachi,"[7, 2, 5, 4, 5, 7, 10, 10, 10, 10, 10]",3.0,"[91.2, 78.86, 78.96, 72.04, 70.4, 86.23, 27.53, 33.92, 27.86, 21.86, 23.08]",6,0
Sri Lanka,bat,Bangladesh,Sri Lanka,Sri Lanka,Karachi,"[7, 2, 5, 4, 5, 10, 7, 10, 10, 10, 10]",5.0,"[91.2, 78.86, 78.96, 72.04, 70.4, 86.23, 108.88, 27.86, 33.92, 23.08, 30.2]",0,158
