Country,Decision,Team 1,Team 2,Winner,Ground,team composition,weather_status,strike_rate,Margin_Wickets,Margin_Runs
Sri Lanka,bat,Bangladesh,Sri Lanka,Bangladesh,Mirpur,"[3, 2, 7, 2, 1, 7, 7, 9, 7, 10, 10]",2.0,"[86.82, 92.88, 90.96, 86.6, 78.59, 93.41, 111.04, 100.0, 31.87, 30.5, 35.17]",0,103
Bangladesh,bat,Bangladesh,Sri Lanka,Bangladesh,Mirpur,"[7, 3, 1, 2, 7, 4, 9, 7, 10, 10, 10]",2.0,"[78.52, 86.64, 82.84, 79.74, 82.76, 76.92, 119.63, 78.34, 29.67, 27.05, 26.26]",0,33
Bangladesh,bat,West Indies,Sri Lanka,West Indies,North Sound,"[7, 3, 1, 1, 2, 4, 9, 7, 10, 10, 10]",1.0,"[78.52, 86.64, 82.84, 79.74, 77.52, 76.92, 119.63, 29.67, 78.34, 29.98, 26.26]",5,0
West Indies,field,West Indies,Sri Lanka,West Indies,North Sound,"[7, 3, 1, 7, 2, 4, 7, 7, 10, 10, 10]",2.0,"[86.82, 79.56, 90.96, 74.24, 91.47, 110.22, 32.8, 111.04, 32.42, 57.0, 53.8]",5,0
West Indies,field,West Indies,Sri Lanka,West Indies,North Sound,"[3, 3, 2, 2, 7, 7, 9, 7, 7, 10, 10]",3.0,"[86.82, 79.56, 90.96, 64.34, 74.24, 110.22, 32.8, 111.04, 57.0, 35.17, 37.12]",8,0
Sri Lanka,bat,Sri Lanka,West Indies,Sri Lanka,Pallekele,"[3, 3, 2, 2, 9, 7, 7, 7, 7, 10, 10]",3.0,"[86.82, 79.56, 90.96, 82.9, 74.24, 110.22, 59.34, 111.04, 35.17, 57.0, 37.12]",0,6
Sri Lanka,bat,Sri Lanka,West Indies,Sri Lanka,Hambantota,"[2, 3, 1, 7, 2, 8, 9, 7, 10, 10, 10]",1.0,"[92.91, 79.56, 92.88, 86.6, 82.9, 78.59, 32.8, 111.04, 137.63, 57.0, 37.12]",0,161
West Indies,field,Sri Lanka,West Indies,Sri Lanka,Colombo (SSC),"[7, 3, 1, 7, 1, 8, 7, 7, 10, 10, 10]",1.0,"[92.91, 79.56, 92.88, 86.6, 32.8, 82.9, 78.59, 111.04, 137.63, 57.0, 37.12]",0,0
Sri Lanka,field,Pakistan,Sri Lanka,Pakistan,Karachi,"[3, 1, 5, 4, 2, 4, 7, 10, 7, 10, 10]",3.0,"[77.58, 95.74, 70.11, 75.0, 134.69, 135.14, 36.96, 96.96, 26.58, 28.45, 32.4]",5,0
Sri Lanka,bat,Pakistan,Sri Lanka,Pakistan,Karachi,"[3, 3, 2, 2, 7, 7, 8, 7, 7, 10, 10]",3.0,"[86.82, 92.91, 72.27, 90.76, 72.16, 108.55, 91.47, 111.04, 57.0, 37.12, 32.28]",0,67
